,name,pdf_url,pmid,doi
3,open_access/35005197,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/dad2.12264,35005197,10.1002/dad2.12264
19,open_access/34905733,https://doi.org/10.1088/1361-6560/ac4316,34905733,10.1088/1361-6560/ac4316
24,open_access/35005207,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/trc2.12229,35005207,10.1002/trc2.12229
33,open_access/34965805,https://journals.sagepub.com/doi/pdf/10.1177/03009858211067478,34965805,10.1177/03009858211067478
80,open_access/35005705,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/emp2.12595,35005705,10.1002/emp2.12595
101,open_access/34962866,https://doi.org/10.1109/tmi.2021.3139023,34962866,10.1109/TMI.2021.3139023
129,open_access/34797003,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ejn.15537,34797003,10.1111/ejn.15537
132,open_access/34865317,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cnm.3559,34865317,10.1002/cnm.3559
136,open_access/35069951,https://doi.org/10.2478/joeb-2021-0018,35069951,10.2478/joeb-2021-0018
180,open_access/35004766,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8739486,35004766,10.3389/fmed.2021.793230
187,open_access/35135238,https://doi.org/10.3934/mbe.2022093,35135238,10.3934/mbe.2022093
226,open_access/34951030,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/clc.23762,34951030,10.1002/clc.23762
227,open_access/34939745,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cns.13773,34939745,10.1111/cns.13773
236,open_access/34936449,https://www.science.org/doi/pdf/10.1126/sciadv.abh2724?download=true,34936449,10.1126/sciadv.abh2724
251,open_access/34936195,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/acm2.13506,34936195,10.1002/acm2.13506
257,open_access/34936438,https://www.science.org/doi/pdf/10.1126/sciadv.abl4146?download=true,34936438,10.1126/sciadv.abl4146
263,open_access/34935742,https://journals.lww.com/jcnjournal/Abstract/9000/The_Utility_of_Nursing_Notes_Among_Medicare.99142.aspx,34935742,10.1097/JCN.0000000000000871
272,open_access/35154882,https://doi.org/10.1364/boe.446214,35154882,10.1364/BOE.446214
273,open_access/34935230,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jocn.16182,34935230,10.1111/jocn.16182
288,open_access/35135235,https://doi.org/10.3934/mbe.2022090,35135235,10.3934/mbe.2022090
295,open_access/34928523,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/path.5858,34928523,10.1002/path.5858
296,open_access/34966518,https://doi.org/10.1155/2021/1302989,34966518,10.1155/2021/1302989
311,open_access/35036125,https://doi.org/10.7717/peerj.12572,35036125,10.7717/peerj.12572
313,open_access/34950750,https://doi.org/10.1101/2021.09.16.21263707,34950750,10.1117/1.JMI.8.6.067501
314,open_access/34937047,https://doi.org/10.1097/apo.0000000000000466,34937047,10.1097/APO.0000000000000466
320,open_access/34928445,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8784497,34928445,10.1007/s11548-021-02539-2
336,open_access/34926205,https://doi.org/10.18240/ijo.2021.12.13,34926205,10.18240/ijo.2021.12.13
337,open_access/34961825,https://doi.org/10.1155/2021/4272411,34961825,10.1155/2021/4272411
349,open_access/34926212,https://doi.org/10.18240/ijo.2021.12.20,34926212,10.18240/ijo.2021.12.20
358,open_access/34918423,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jmri.27978,34918423,10.1002/jmri.27978
364,open_access/34928886,https://journals.lww.com/jaaos/Fulltext/9900/Supervised_Machine_Learning_for_Predicting_Length.298.aspx,34928886,10.5435/JAAOS-D-21-00241
409,open_access/34923098,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8972393,34923098,10.1016/j.jvir.2021.12.017
417,open_access/34913545,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.25748,34913545,10.1002/hbm.25748
443,open_access/35036528,https://doi.org/10.7717/peerj-cs.751,35036528,10.7717/peerj-cs.751
453,open_access/35135226,https://doi.org/10.3934/mbe.2022081,35135226,10.3934/mbe.2022081
459,open_access/35135225,https://doi.org/10.3934/mbe.2022080,35135225,10.3934/mbe.2022080
462,open_access/34911402,https://journals.sagepub.com/doi/pdf/10.1177/0272989X211064604,34911402,10.1177/0272989X211064604
481,open_access/34850386,https://doi.org/10.1101/2021.09.01.458536,34850386,10.1111/acps.13388
482,open_access/34821436,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cas.15217,34821436,10.1111/cas.15217
509,open_access/34902228,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/acr.24834,34902228,10.1002/acr.24834
522,open_access/34925951,https://journals.sagepub.com/doi/pdf/10.1177/21514593211062277,34925951,10.1177/21514593211062277
536,open_access/35018316,https://doi.org/10.1089/heq.2021.0079,35018316,10.1089/heq.2021.0079
567,open_access/34977354,https://doi.org/10.7717/peerj-cs.806,34977354,10.7717/peerj-cs.806
572,open_access/34886766,https://www.tandfonline.com/doi/pdf/10.1080/17538157.2021.2007930?needAccess=true,34886766,10.1080/17538157.2021.2007930
598,open_access/34882518,https://www.tandfonline.com/doi/pdf/10.1080/10543406.2021.2009500?needAccess=true,34882518,10.1080/10543406.2021.2009500
626,open_access/34888699,https://academic.oup.com/mr/advance-article-pdf/doi/10.1093/mr/roab124/41982268/roab124.pdf,34888699,10.1093/mr/roab124
629,open_access/34889059,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1753-0407.13241,34889059,10.1111/1753-0407.13241
631,open_access/34889080,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8752108,34889080,10.1002/psp4.12740
645,open_access/34797766,https://doi.org/10.1109/tnsre.2021.3129467,34797766,10.1109/TNSRE.2021.3129467
650,open_access/35243343,https://doi.org/10.1093/braincomms/fcab284,35243343,10.1093/braincomms/fcab284
664,open_access/34900003,https://journals.sagepub.com/doi/pdf/10.1177/1759720X211059614,34900003,10.1177/1759720X211059614
671,open_access/34806195,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mp.15361,34806195,10.1002/mp.15361
673,open_access/34889756,https://jmir.org/api/download?alt_name=medinform_v9i12e25022_app1.pdf&filename=7242afed6c46fa88dc3245db4df32b17.pdf,34889756,10.2196/25022
692,open_access/34960267,https://www.mdpi.com/1424-8220/21/24/8174/pdf,34960267,10.3390/s21248174
700,open_access/34559061,https://doi.org/10.2196/29563,34559061,10.2196/29563
704,open_access/34946421,https://www.mdpi.com/2227-9032/9/12/1695/pdf,34946421,10.3390/healthcare9121695
722,open_access/34912531,https://doi.org/10.1155/2021/1336762,34912531,10.1155/2021/1336762
723,open_access/34885246,https://www.mdpi.com/2072-6694/13/23/6138/pdf,34885246,10.3390/cancers13236138
726,open_access/34884166,https://www.mdpi.com/1424-8220/21/23/8157/pdf,34884166,10.3390/s21238157
739,open_access/34912476,https://doi.org/10.1155/2021/8668978,34912476,10.1155/2021/8668978
745,open_access/34946413,https://www.mdpi.com/2227-9032/9/12/1687/pdf,34946413,10.3390/healthcare9121687
749,open_access/34884146,https://www.mdpi.com/1424-8220/21/23/8142/pdf,34884146,10.3390/s21238142
752,open_access/34940256,https://www.mdpi.com/2079-6374/11/12/499/pdf,34940256,10.3390/bios11120499
762,open_access/34884136,https://www.mdpi.com/1424-8220/21/23/8131/pdf,34884136,10.3390/s21238131
769,open_access/34719782,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/path.5828,34719782,10.1002/path.5828
771,open_access/34885222,https://www.mdpi.com/2072-6694/13/23/6113/pdf,34885222,10.3390/cancers13236113
772,open_access/35099394,https://doi.org/10.2196/32949,35099394,10.2196/32949
775,open_access/34886533,https://www.mdpi.com/1660-4601/18/23/12807/pdf,34886533,10.3390/ijerph182312807
776,open_access/34886532,https://www.mdpi.com/1660-4601/18/23/12806/pdf,34886532,10.3390/ijerph182312806
779,open_access/34884121,https://www.mdpi.com/1424-8220/21/23/8118/pdf,34884121,10.3390/s21238118
783,open_access/34876935,https://doi.org/10.1016/j.procs.2021.10.081,34876935,10.1016/j.procs.2021.10.081
784,open_access/34762815,https://www.tandfonline.com/doi/pdf/10.1080/00325481.2021.2003150?needAccess=true,34762815,10.1080/00325481.2021.2003150
786,open_access/34884095,https://www.mdpi.com/1424-8220/21/23/8091/pdf,34884095,10.3390/s21238091
787,open_access/34943501,https://www.mdpi.com/2075-4418/11/12/2264/pdf,34943501,10.3390/diagnostics11122264
792,open_access/34945760,https://www.mdpi.com/2075-4426/11/12/1288/pdf,34945760,10.3390/jpm11121288
793,open_access/34886497,https://www.mdpi.com/1660-4601/18/23/12772/pdf,34886497,10.3390/ijerph182312772
797,open_access/34943504,https://www.mdpi.com/2075-4418/11/12/2267/pdf,34943504,10.3390/diagnostics11122267
803,open_access/35135205,https://doi.org/10.3934/mbe.2022060,35135205,10.3934/mbe.2022060
805,open_access/34884099,https://www.mdpi.com/1424-8220/21/23/8095/pdf,34884099,10.3390/s21238095
808,open_access/34884102,https://www.mdpi.com/1424-8220/21/23/8099/pdf,34884102,10.3390/s21238099
813,open_access/34859963,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8817096,34859963,10.1002/cam4.4465
819,open_access/34860663,https://doi.org/10.2196/23440,34860663,10.2196/23440
821,open_access/34860674,https://doi.org/10.2196/22798,34860674,10.2196/22798
