,name,pdf_url,pmid,doi
4,open_access/34969093,,34969093,10.1093/cercor/bhab474
8,open_access/34998166,,34998166,10.1016/j.cmpb.2021.106613
11,open_access/34979435,,34979435,10.1016/j.ijmedinf.2021.104669
12,open_access/34911053,,34911053,10.1088/1361-6560/ac4348
13,open_access/34971530,,34971530,10.1109/TMI.2021.3139999
18,open_access/34633928,,34633928,10.1109/TUFFC.2021.3119251
20,open_access/34979213,,34979213,10.1016/j.radonc.2021.12.033
23,open_access/34460373,,34460373,10.1109/TUFFC.2021.3109117
28,open_access/34979129,,34979129,10.1016/j.apmr.2021.12.006
29,open_access/35033757,,35033757,10.1016/j.cmpb.2021.106612
32,open_access/34973967,,34973967,10.1016/j.gie.2021.12.020
35,open_access/34973966,,34973966,10.1016/j.gie.2021.12.019
40,open_access/34970824,,34970824,10.1002/jmri.28047
42,open_access/34968146,,34968146,10.1097/JU.0000000000002390
45,open_access/34965817,,34965817,10.1080/17538157.2021.2019038
47,open_access/34491896,,34491896,10.1109/TMI.2021.3110829
51,open_access/34383646,,34383646,10.1109/TMI.2021.3104460
54,open_access/34999410,,34999410,10.1016/j.ijmedinf.2021.104678
55,open_access/34999468,,34999468,10.1016/j.compbiomed.2021.105161
60,open_access/34986453,,34986453,10.1016/j.compbiomed.2021.105185
61,open_access/34964365,,34964365,10.1177/02841851211068149
63,open_access/34973385,,34973385,10.1016/j.neuroscience.2021.12.031
68,open_access/34999533,,34999533,10.1016/j.cmpb.2021.106604
72,open_access/35026575,,35026575,10.1016/j.compbiomed.2021.105180
73,open_access/34973892,,34973892,10.1016/j.jvoice.2021.11.021
76,open_access/34998169,,34998169,10.1016/j.cmpb.2021.106611
81,open_access/34883471,,34883471,10.1088/1361-6579/ac41b8
85,open_access/34847543,,34847543,10.1088/1361-6579/ac3e88
88,open_access/34963424,,34963424,10.1080/00207454.2021.2018428
90,open_access/34881470,,34881470,10.1002/pds.5391
93,open_access/34964489,,34964489,10.1002/jum.15935
95,open_access/34974374,,34974374,10.1016/j.ajp.2021.102974
100,open_access/34738636,,34738636,10.1002/path.5831
102,open_access/34962326,,34962326,10.1002/nbm.4665
104,open_access/34962890,,34962890,10.1109/JBHI.2021.3138852
108,open_access/34979436,,34979436,10.1016/j.ijmedinf.2021.104675
110,open_access/34995955,,34995955,10.1016/j.compbiomed.2021.105160
111,open_access/34905217,,34905217,10.1002/cpt.2511
112,open_access/34823230,,34823230,10.1088/1361-6579/ac3d77
113,open_access/34962860,,34962860,10.1109/TBME.2021.3139007
121,open_access/34968747,,34968747,10.1016/j.accpm.2021.101015
123,open_access/34971977,,34971977,10.1016/j.compbiomed.2021.105175
130,open_access/34968471,,34968471,10.1016/j.radonc.2021.12.031
139,open_access/35021138,,35021138,10.1016/j.cmpb.2021.106602
144,open_access/34963643,,34963643,10.1016/j.jad.2021.12.048
145,open_access/34953008,,34953008,10.1002/hed.26970
146,open_access/35051867,,35051867,10.1016/j.neunet.2021.12.010
147,open_access/34953074,,34953074,10.1002/jbmr.4494
149,open_access/34979295,,34979295,10.1016/j.cmpb.2021.106603
150,open_access/34894932,,34894932,10.1080/1354750X.2021.2016971
151,open_access/34971983,,34971983,10.1016/j.compbiomed.2021.105173
156,open_access/34986432,,34986432,10.1016/j.cmpb.2021.106598
157,open_access/34875634,,34875634,10.1088/1741-2552/ac40a0
160,open_access/34990905,,34990905,10.1016/j.media.2021.102339
162,open_access/34974261,,34974261,10.1016/j.bios.2021.113916
172,open_access/34949101,,34949101,10.1161/CIRCHEARTFAILURE.121.008711
173,open_access/34951728,,34951728,10.1111/his.14613
178,open_access/34959169,,34959169,10.1016/j.ejmp.2021.12.009
188,open_access/34255624,,34255624,10.1109/TBME.2021.3096462
197,open_access/34101581,,34101581,10.1109/TBME.2021.3087612
198,open_access/34974233,,34974233,10.1016/j.cmpb.2021.106599
200,open_access/34941536,,34941536,10.1109/JBHI.2021.3137413
202,open_access/35124367,,35124367,10.1016/j.media.2021.102340
204,open_access/34968861,,34968861,10.1016/j.compbiomed.2021.105117
206,open_access/34949699,,34949699,10.1183/13993003.01652-2021
208,open_access/34955288,,34955288,10.1016/j.surg.2021.11.016
210,open_access/34890061,,34890061,10.1002/mp.15399
211,open_access/34242159,,34242159,10.1109/TBME.2021.3095848
216,open_access/34812539,,34812539,10.1111/cod.14011
219,open_access/34940847,,34940847,10.1093/ejcts/ezab541
223,open_access/34974232,,34974232,10.1016/j.cmpb.2021.106597
230,open_access/34242161,,34242161,10.1109/TBME.2021.3096137
231,open_access/34971918,,34971918,10.1016/j.ijmedinf.2021.104670
232,open_access/34935978,,34935978,10.1093/neuonc/noab294
235,open_access/34936171,,34936171,10.1111/pcn.13322
237,open_access/34939246,,34939246,10.1002/nbm.4661
242,open_access/34937750,,34937750,10.1136/jnnp-2021-327211
244,open_access/34952109,,34952109,10.1016/j.jad.2021.12.070
245,open_access/34973606,,34973606,10.1016/j.cmpb.2021.106601
246,open_access/34954034,,34954034,10.1016/j.avsg.2021.12.008
249,open_access/34897703,,34897703,10.1002/mp.15408
250,open_access/34971855,,34971855,10.1016/j.cmpb.2021.106600
253,open_access/32092028,,32092028,10.1109/TCYB.2020.2969520
256,open_access/35227445,,35227445,10.1016/j.jval.2021.11.1360
265,open_access/34942222,,34942222,10.1016/j.jad.2021.12.065
267,open_access/34873978,,34873978,10.1080/03007995.2021.2015156
274,open_access/34931664,,34931664,10.1093/ije/dyab236
277,open_access/34935652,,34935652,10.1097/RLI.0000000000000842
286,open_access/34973583,,34973583,10.1016/j.compbiomed.2021.105162
305,open_access/34957947,,34957947,10.3233/XST-211063
309,open_access/34924086,,34924086,10.1017/S1047951121004959
319,open_access/34923855,,34923855,10.1177/09544119211060989
322,open_access/34942278,,34942278,10.1016/j.jdent.2021.103937
323,open_access/35172253,,35172253,10.1016/j.cmpb.2021.106592
327,open_access/34928786,,34928786,10.1109/TBME.2021.3136753
330,open_access/34927419,,34927419,10.1021/acs.analchem.1c04000
331,open_access/34927343,,34927343,10.1111/1747-0080.12718
332,open_access/34929183,,34929183,10.1016/j.gie.2021.12.003
335,open_access/34930637,,34930637,10.1016/j.ultrasmedbio.2021.11.003
339,open_access/34953355,,34953355,10.1016/j.compbiomed.2021.105157
344,open_access/34929344,,34929344,10.1016/j.bpsc.2021.12.003
346,open_access/34933166,,34933166,10.1016/j.pdpdt.2021.102689
351,open_access/34969636,,34969636,10.1016/j.jcct.2021.12.005
354,open_access/34924175,,34924175,10.1016/j.bja.2021.10.052
361,open_access/34942395,,34942395,10.1016/j.compbiomed.2021.105139
362,open_access/34934034,,34934034,10.1097/IAE.0000000000003385
369,open_access/34918621,,34918621,10.1080/0284186X.2021.2013530
372,open_access/35063809,,35063809,10.1016/j.nut.2021.111571
373,open_access/34963093,,34963093,10.1016/j.cmpb.2021.106589
374,open_access/34918955,,34918955,10.1177/02841851211060437
375,open_access/34920680,,34920680,10.1177/00302228211060596
379,open_access/34942393,,34942393,10.1016/j.compbiomed.2021.105146
381,open_access/34913210,,34913210,10.1002/jmri.28033
382,open_access/34913723,,34913723,10.1161/CIRCULATIONAHA.121.054285
383,open_access/34953357,,34953357,10.1016/j.compbiomed.2021.105143
386,open_access/34916211,,34916211,10.1136/bjophthalmol-2021-319309
391,open_access/34998111,,34998111,10.1016/j.media.2021.102333
393,open_access/34959158,,34959158,10.1016/j.cmpb.2021.106587
404,open_access/34922828,,34922828,10.1016/j.acra.2021.11.013
405,open_access/34911362,,34911362,10.1161/CIRCHEARTFAILURE.120.008176
410,open_access/34954633,,34954633,10.1016/j.cmpb.2021.106590
411,open_access/34929463,,34929463,10.1016/j.compbiomed.2021.105147
413,open_access/34936544,,34936544,
418,open_access/34918174,,34918174,10.1007/s00261-021-03375-3
420,open_access/34860417,,34860417,10.1002/mp.15390
422,open_access/34919075,,34919075,10.1097/BRS.0000000000004307
423,open_access/34908146,,34908146,10.1093/pm/pnab342
424,open_access/34908478,,34908478,10.1259/bjr.20210915
426,open_access/34908213,,34908213,10.1002/jemt.24008
433,open_access/34913132,,34913132,10.1007/s10278-021-00519-1
441,open_access/34860574,,34860574,10.1259/bjr.20210438
458,open_access/34910643,,34910643,10.1109/JBHI.2021.3135534
460,open_access/34921955,,34921955,10.1016/j.arthro.2021.12.012
465,open_access/34929547,,34929547,10.1016/j.jpsychores.2021.110703
467,open_access/34923280,,34923280,10.1016/j.amjoto.2021.103327
476,open_access/34919941,,34919941,10.1016/j.gie.2021.11.049
478,open_access/34920910,,34920910,10.1016/j.ijom.2021.11.017
479,open_access/34929625,,34929625,10.1016/j.saa.2021.120684
485,open_access/34904872,,34904872,10.1148/radiol.211590
487,open_access/34920976,,34920976,10.1016/j.euf.2021.11.009
489,open_access/34904871,,34904871,10.1148/radiol.211528
491,open_access/34904882,,34904882,10.1177/15353702211065010
494,open_access/34894969,,34894969,10.1080/17434440.2022.2014319
497,open_access/34903032,,34903032,10.1161/CIRCINTERVENTIONS.121.010863
503,open_access/34753116,,34753116,10.1088/1741-2552/ac37cc
505,open_access/34859445,,34859445,10.1002/mp.15393
507,open_access/34903546,,34903546,10.1136/bmjopen-2021-053352
511,open_access/34903703,,34903703,10.1159/000520445
518,open_access/34812546,,34812546,10.1002/jbmr.4477
521,open_access/34916048,,34916048,10.1016/j.crad.2021.11.008
524,open_access/35249601,,35249601,10.1016/j.jsr.2021.12.001
530,open_access/34904304,,34904304,10.1111/ipd.12946
533,open_access/34861045,,34861045,10.1002/mp.15392
537,open_access/34922173,,34922173,10.1016/j.compbiomed.2021.105131
540,open_access/34897594,,34897594,10.1007/s11548-021-02542-7
550,open_access/35030442,,35030442,10.1016/j.brat.2021.104013
551,open_access/34915318,,34915318,10.1016/j.clinimag.2021.12.004
555,open_access/34894410,,34894410,10.1002/gps.5667
559,open_access/34894336,,34894336,10.1007/s11548-021-02515-w
561,open_access/34894786,,34894786,10.1177/00031348211063549
565,open_access/34889152,,34889152,10.1177/15500594211063662
566,open_access/34896307,,34896307,10.1016/j.exer.2021.108851
570,open_access/34896939,,34896939,10.1016/j.jss.2021.10.016
574,open_access/34891153,,34891153,10.1093/cercor/bhab419
578,open_access/34896819,,34896819,10.1016/j.jstrokecerebrovasdis.2021.106234
585,open_access/34902505,,34902505,10.1016/j.ijcard.2021.12.012
587,open_access/34956135,,34956135,10.3389/fmicb.2021.772736
595,open_access/34902364,,34902364,10.1016/j.jneumeth.2021.109426
603,open_access/34882827,,34882827,10.1002/jum.15914
606,open_access/34882550,,34882550,10.1109/TMI.2021.3134270
607,open_access/34883032,,34883032,10.1089/cmb.2021.0236
611,open_access/34915319,,34915319,10.1016/j.ijmedinf.2021.104661
612,open_access/34888698,,34888698,10.1093/ntr/ntab257
614,open_access/34543203,,34543203,10.1109/TBCAS.2021.3113613
618,open_access/34882890,,34882890,10.1002/jmri.28025
630,open_access/34887322,,34887322,10.1183/13993003.01674-2021
641,open_access/33656995,,33656995,10.1109/TCBB.2021.3063284
642,open_access/34890575,,34890575,10.1016/j.athoracsur.2021.11.011
644,open_access/34890783,,34890783,10.1016/j.pdpdt.2021.102676
647,open_access/34881409,,34881409,10.1007/s11548-021-02505-y
653,open_access/33259306,,33259306,10.1109/TCBB.2020.3041527
654,open_access/34895831,,34895831,10.1016/j.acra.2021.10.027
657,open_access/32386162,,32386162,10.1109/TCBB.2020.2992605
661,open_access/34813114,,34813114,10.1002/mp.15371
662,open_access/34896929,,34896929,10.1016/j.parkreldis.2021.12.002
669,open_access/32324565,,32324565,10.1109/TCBB.2020.2989315
679,open_access/34896101,,34896101,10.1016/j.gie.2021.11.040
682,open_access/34837331,,34837331,10.1002/jbio.202100198
685,open_access/34887070,,34887070,10.1016/j.crad.2021.11.006
691,open_access/34496066,,34496066,10.1002/hep.32142
693,open_access/34808603,,34808603,10.1088/1361-6560/ac3c13
694,open_access/34818638,,34818638,10.1088/1361-6560/ac3d16
696,open_access/34873695,,34873695,10.1002/lary.29971
698,open_access/34874210,,34874210,10.1080/10255842.2021.2012655
703,open_access/34802144,,34802144,10.1002/mp.15328
706,open_access/34870585,,34870585,10.5664/jcsm.9798
711,open_access/34877735,,34877735,10.1002/jmri.28024
715,open_access/34874878,,34874878,10.1109/JBHI.2021.3133455
717,open_access/34876477,,34876477,10.2967/jnmt.121.263081
720,open_access/34874188,,34874188,10.1177/02841851211058934
724,open_access/34870344,,34870344,10.1002/mds.28866
727,open_access/34865511,,34865511,10.1161/STROKEAHA.121.036091
730,open_access/33750716,,33750716,10.1109/JBHI.2021.3067789
731,open_access/34883104,,34883104,10.1016/j.mbs.2021.108756
732,open_access/34347614,,34347614,10.1109/JBHI.2021.3101982
736,open_access/33370240,,33370240,10.1109/JBHI.2020.3047602
737,open_access/33929968,,33929968,10.1109/JBHI.2021.3076762
738,open_access/34883090,,34883090,10.1016/j.cca.2021.12.003
740,open_access/34808605,,34808605,10.1088/1361-6560/ac3c14
744,open_access/34895894,,34895894,10.1016/j.amjsurg.2021.11.037
746,open_access/34998514,,34998514,10.1016/j.artmed.2021.102230
751,open_access/34715678,,34715678,10.1088/1361-6560/ac34b2
753,open_access/34871168,,34871168,10.1109/TMI.2021.3132905
754,open_access/34866501,,34866501,10.1080/10255842.2021.2012656
758,open_access/34896885,,34896885,10.1016/j.compbiomed.2021.105124
759,open_access/34896689,,34896689,10.1016/j.cmpb.2021.106579
761,open_access/34915425,,34915425,10.1016/j.cmpb.2021.106576
763,open_access/34910974,,34910974,10.1016/j.cmpb.2021.106575
765,open_access/34973521,,34973521,10.1016/j.compbiomed.2021.105102
766,open_access/34875386,,34875386,10.1016/j.jbi.2021.103949
