,name,pdf_url,pmid,doi
0,open_access/35011970,https://www.mdpi.com/2077-0383/11/1/229/pdf,35011970,10.3390/jcm11010229
1,open_access/34972109,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0261698&type=printable,34972109,10.1371/journal.pone.0261698
2,open_access/34971557,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0260600&type=printable,34971557,10.1371/journal.pone.0260600
3,open_access/35005197,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/dad2.12264,35005197,10.1002/dad2.12264
5,open_access/35005676,http://www.cvdigitalhealthjournal.com/article/S2666693621001468/pdf,35005676,10.1016/j.cvdhj.2021.12.003
6,open_access/35008361,https://www.mdpi.com/2072-6694/14/1/188/pdf,35008361,10.3390/cancers14010188
7,open_access/35003258,https://downloads.hindawi.com/journals/jo/2021/5499385.pdf,35003258,10.1155/2021/5499385
9,open_access/35011959,https://www.mdpi.com/2077-0383/11/1/219/pdf,35011959,10.3390/jcm11010219
10,open_access/34972768,https://bmjopen.bmj.com/content/bmjopen/11/12/e053808.full.pdf,34972768,10.1136/bmjopen-2021-053808
14,open_access/35009845,https://www.mdpi.com/1424-8220/22/1/299/pdf,35009845,10.3390/s22010299
15,open_access/35045383,http://arxiv.org/pdf/2005.07229,35045383,10.1016/j.neunet.2021.12.014
16,open_access/35003245,https://downloads.hindawi.com/journals/cin/2021/5759184.pdf,35003245,10.1155/2021/5759184
17,open_access/35009825,https://www.mdpi.com/1424-8220/22/1/283/pdf,35009825,10.3390/s22010283
19,open_access/34905733,https://doi.org/10.1088/1361-6560/ac4316,34905733,10.1088/1361-6560/ac4316
21,open_access/35009834,https://www.mdpi.com/1424-8220/22/1/292/pdf,35009834,10.3390/s22010292
22,open_access/34998220,https://doi.org/10.1016/j.compbiomed.2021.105192,34998220,10.1016/j.compbiomed.2021.105192
24,open_access/35005207,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/trc2.12229,35005207,10.1002/trc2.12229
25,open_access/34879437,http://arxiv.org/pdf/2109.12115,34879437,10.1111/jcpe.13574
26,open_access/34971441,https://link.springer.com/content/pdf/10.1007/s11596-021-2501-4.pdf,34971441,10.1007/s11596-021-2501-4
27,open_access/34972151,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0261433&type=printable,34972151,10.1371/journal.pone.0261433
30,open_access/35111273,https://www.sciendo.com/pdf/10.2478/joeb-2021-0021,35111273,10.2478/joeb-2021-0021
31,open_access/35144199,http://arxiv.org/pdf/2105.00374,35144199,10.1016/j.media.2021.102329
33,open_access/34965805,https://journals.sagepub.com/doi/pdf/10.1177/03009858211067478,34965805,10.1177/03009858211067478
34,open_access/34969378,https://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-021-01731-3,34969378,10.1186/s12911-021-01731-3
36,open_access/35005017,https://downloads.hindawi.com/journals/bmri/2021/5047501.pdf,35005017,10.1155/2021/5047501
37,open_access/35036353,https://www.frontiersin.org/articles/10.3389/fonc.2021.725320/pdf,35036353,10.3389/fonc.2021.725320
38,open_access/35011934,https://www.mdpi.com/2077-0383/11/1/192/pdf,35011934,10.3390/jcm11010192
39,open_access/35002476,https://link.springer.com/content/pdf/10.1007/s11280-021-00983-3.pdf,35002476,10.1007/s11280-021-00983-3
41,open_access/35062267,https://www.mdpi.com/1999-4915/14/1/63/pdf,35062267,10.3390/v14010063
43,open_access/35009794,https://www.mdpi.com/1424-8220/22/1/253/pdf,35009794,10.3390/s22010253
44,open_access/34460371,http://arxiv.org/pdf/2109.12113,34460371,10.1109/TMI.2021.3108949
46,open_access/34460370,http://arxiv.org/pdf/2109.01663,34460370,10.1109/TMI.2021.3108910
48,open_access/35052094,https://www.mdpi.com/1099-4300/24/1/68/pdf,35052094,10.3390/e24010068
49,open_access/35009788,https://www.mdpi.com/1424-8220/22/1/245/pdf,35009788,10.3390/s22010245
50,open_access/35054249,https://www.mdpi.com/2075-4418/12/1/82/pdf,35054249,10.3390/diagnostics12010082
52,open_access/34351855,https://arxiv.org/pdf/2008.02957,34351855,10.1109/TMI.2021.3102622
53,open_access/35003242,https://downloads.hindawi.com/journals/cin/2021/3941978.pdf,35003242,10.1155/2021/3941978
56,open_access/35003247,https://downloads.hindawi.com/journals/cin/2021/7677568.pdf,35003247,10.1155/2021/7677568
57,open_access/34981040,https://link.springer.com/content/pdf/10.1007/s42979-021-00980-3.pdf,34981040,10.1007/s42979-021-00980-3
