,name,pdf_url
0,open_access/35011970,https://www.mdpi.com/2077-0383/11/1/229/pdf
1,open_access/34972109,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0261698&type=printable
2,open_access/34971557,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0260600&type=printable
3,open_access/35005197,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/dad2.12264
4,open_access/34969093,nan
5,open_access/35005676,http://www.cvdigitalhealthjournal.com/article/S2666693621001468/pdf
6,open_access/35008361,https://www.mdpi.com/2072-6694/14/1/188/pdf
7,open_access/35003258,https://downloads.hindawi.com/journals/jo/2021/5499385.pdf
8,open_access/34998166,nan
9,open_access/35011959,https://www.mdpi.com/2077-0383/11/1/219/pdf
10,open_access/34972768,https://bmjopen.bmj.com/content/bmjopen/11/12/e053808.full.pdf
11,open_access/34979435,nan
12,open_access/34911053,nan
13,open_access/34971530,nan
14,open_access/35009845,https://www.mdpi.com/1424-8220/22/1/299/pdf
15,open_access/35045383,http://arxiv.org/pdf/2005.07229
16,open_access/35003245,https://downloads.hindawi.com/journals/cin/2021/5759184.pdf
17,open_access/35009825,https://www.mdpi.com/1424-8220/22/1/283/pdf
18,open_access/34633928,nan
19,open_access/34905733,https://doi.org/10.1088/1361-6560/ac4316
20,open_access/34979213,nan
21,open_access/35009834,https://www.mdpi.com/1424-8220/22/1/292/pdf
22,open_access/34998220,https://doi.org/10.1016/j.compbiomed.2021.105192
23,open_access/34460373,nan
24,open_access/35005207,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/trc2.12229
25,open_access/34879437,http://arxiv.org/pdf/2109.12115
26,open_access/34971441,https://link.springer.com/content/pdf/10.1007/s11596-021-2501-4.pdf
27,open_access/34972151,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0261433&type=printable
28,open_access/34979129,nan
29,open_access/35033757,nan
30,open_access/35111273,https://www.sciendo.com/pdf/10.2478/joeb-2021-0021
31,open_access/35144199,http://arxiv.org/pdf/2105.00374
32,open_access/34973967,nan
33,open_access/34965805,https://journals.sagepub.com/doi/pdf/10.1177/03009858211067478
34,open_access/34969378,https://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-021-01731-3
35,open_access/34973966,nan
36,open_access/35005017,https://downloads.hindawi.com/journals/bmri/2021/5047501.pdf
37,open_access/35036353,https://www.frontiersin.org/articles/10.3389/fonc.2021.725320/pdf
38,open_access/35011934,https://www.mdpi.com/2077-0383/11/1/192/pdf
39,open_access/35002476,https://link.springer.com/content/pdf/10.1007/s11280-021-00983-3.pdf
40,open_access/34970824,nan
41,open_access/35062267,https://www.mdpi.com/1999-4915/14/1/63/pdf
42,open_access/34968146,nan
43,open_access/35009794,https://www.mdpi.com/1424-8220/22/1/253/pdf
44,open_access/34460371,http://arxiv.org/pdf/2109.12113
45,open_access/34965817,nan
46,open_access/34460370,http://arxiv.org/pdf/2109.01663
47,open_access/34491896,nan
48,open_access/35052094,https://www.mdpi.com/1099-4300/24/1/68/pdf
49,open_access/35009788,https://www.mdpi.com/1424-8220/22/1/245/pdf
50,open_access/35054249,https://www.mdpi.com/2075-4418/12/1/82/pdf
51,open_access/34383646,nan
52,open_access/34351855,https://arxiv.org/pdf/2008.02957
53,open_access/35003242,https://downloads.hindawi.com/journals/cin/2021/3941978.pdf
54,open_access/34999410,nan
55,open_access/34999468,nan
56,open_access/35003247,https://downloads.hindawi.com/journals/cin/2021/7677568.pdf
57,open_access/34981040,https://link.springer.com/content/pdf/10.1007/s42979-021-00980-3.pdf
58,open_access/35026571,https://doi.org/10.1016/j.compbiomed.2021.105191
59,open_access/35052750,https://www.mdpi.com/2227-9059/10/1/70/pdf
60,open_access/34986453,nan
61,open_access/34964365,nan
62,open_access/35035312,https://downloads.hindawi.com/journals/cmmi/2021/2700452.pdf
63,open_access/34973385,nan
64,open_access/35053045,https://www.mdpi.com/2079-7737/11/1/47/pdf
65,open_access/34979404,https://doi.org/10.1016/j.compbiomed.2021.105182
66,open_access/35054239,https://www.mdpi.com/2075-4418/12/1/72/pdf
67,open_access/35054242,https://www.mdpi.com/2075-4418/12/1/74/pdf
68,open_access/34999533,nan
69,open_access/34965212,http://arxiv.org/pdf/2010.07047
70,open_access/35009768,https://www.mdpi.com/1424-8220/22/1/225/pdf
71,open_access/35049642,https://www.mdpi.com/2079-6374/12/1/15/pdf
72,open_access/35026575,nan
73,open_access/34973892,nan
74,open_access/34977600,https://doi.org/10.1016/j.simpa.2021.100210
75,open_access/35053787,https://www.mdpi.com/2076-3425/12/1/44/pdf
76,open_access/34998169,nan
77,open_access/35009747,https://www.mdpi.com/1424-8220/22/1/205/pdf
78,open_access/35009760,https://www.mdpi.com/1424-8220/22/1/219/pdf
79,open_access/35053041,https://www.mdpi.com/2079-7737/11/1/43/pdf
80,open_access/35005705,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/emp2.12595
81,open_access/34883471,nan
82,open_access/35003246,https://downloads.hindawi.com/journals/cin/2021/7231126.pdf
83,open_access/34963042,https://www.degruyter.com/document/doi/10.1515/cclm-2021-1171/pdf
84,open_access/35054236,https://www.mdpi.com/2075-4418/12/1/69/pdf
85,open_access/34847543,nan
86,open_access/34966977,https://link.springer.com/content/pdf/10.1007/s11682-021-00572-y.pdf
87,open_access/35003244,https://downloads.hindawi.com/journals/cin/2021/4454648.pdf
88,open_access/34963424,nan
89,open_access/34977331,https://doi.org/10.1016/j.imu.2021.100835
90,open_access/34881470,nan
91,open_access/34973585,https://doi.org/10.1016/j.compbiomed.2021.105172
92,open_access/34992650,https://downloads.hindawi.com/journals/cin/2021/7532241.pdf
93,open_access/34964489,nan
94,open_access/35027902,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.782866/pdf
95,open_access/34974374,nan
96,open_access/34889065,https://tore.tuhh.de/bitstream/11420/11455/1/Journal%20of%20Biophotonics%20-%202021%20-%20Eggert%20-%20In%20vivo%20detection%20of%20head%20and%20neck%20tumors%20by%20hyperspectral%20imaging%20combined%20with.pdf
97,open_access/34992676,https://downloads.hindawi.com/journals/cmmm/2021/9624269.pdf
