,name,pdf_url,pmid,doi
4,open_access/34969093,,34969093,10.1093/cercor/bhab474
12,open_access/34911053,,34911053,10.1088/1361-6560/ac4348
13,open_access/34971530,,34971530,10.1109/TMI.2021.3139999
18,open_access/34633928,,34633928,10.1109/TUFFC.2021.3119251
23,open_access/34460373,,34460373,10.1109/TUFFC.2021.3109117
40,open_access/34970824,,34970824,10.1002/jmri.28047
42,open_access/34968146,,34968146,10.1097/JU.0000000000002390
45,open_access/34965817,,34965817,10.1080/17538157.2021.2019038
47,open_access/34491896,,34491896,10.1109/TMI.2021.3110829
51,open_access/34383646,,34383646,10.1109/TMI.2021.3104460
61,open_access/34964365,,34964365,10.1177/02841851211068149
81,open_access/34883471,,34883471,10.1088/1361-6579/ac41b8
85,open_access/34847543,,34847543,10.1088/1361-6579/ac3e88
88,open_access/34963424,,34963424,10.1080/00207454.2021.2018428
90,open_access/34881470,,34881470,10.1002/pds.5391
93,open_access/34964489,,34964489,10.1002/jum.15935
100,open_access/34738636,,34738636,10.1002/path.5831
102,open_access/34962326,,34962326,10.1002/nbm.4665
104,open_access/34962890,,34962890,10.1109/JBHI.2021.3138852
111,open_access/34905217,,34905217,10.1002/cpt.2511
112,open_access/34823230,,34823230,10.1088/1361-6579/ac3d77
113,open_access/34962860,,34962860,10.1109/TBME.2021.3139007
145,open_access/34953008,,34953008,10.1002/hed.26970
147,open_access/34953074,,34953074,10.1002/jbmr.4494
150,open_access/34894932,,34894932,10.1080/1354750X.2021.2016971
157,open_access/34875634,,34875634,10.1088/1741-2552/ac40a0
172,open_access/34949101,,34949101,10.1161/CIRCHEARTFAILURE.121.008711
173,open_access/34951728,,34951728,10.1111/his.14613
188,open_access/34255624,,34255624,10.1109/TBME.2021.3096462
197,open_access/34101581,,34101581,10.1109/TBME.2021.3087612
200,open_access/34941536,,34941536,10.1109/JBHI.2021.3137413
206,open_access/34949699,,34949699,10.1183/13993003.01652-2021
210,open_access/34890061,,34890061,10.1002/mp.15399
211,open_access/34242159,,34242159,10.1109/TBME.2021.3095848
216,open_access/34812539,,34812539,10.1111/cod.14011
219,open_access/34940847,,34940847,10.1093/ejcts/ezab541
230,open_access/34242161,,34242161,10.1109/TBME.2021.3096137
232,open_access/34935978,,34935978,10.1093/neuonc/noab294
235,open_access/34936171,,34936171,10.1111/pcn.13322
237,open_access/34939246,,34939246,10.1002/nbm.4661
242,open_access/34937750,,34937750,10.1136/jnnp-2021-327211
246,open_access/34954034,,34954034,10.1016/j.avsg.2021.12.008
249,open_access/34897703,,34897703,10.1002/mp.15408
253,open_access/32092028,,32092028,10.1109/TCYB.2020.2969520
267,open_access/34873978,,34873978,10.1080/03007995.2021.2015156
274,open_access/34931664,,34931664,10.1093/ije/dyab236
277,open_access/34935652,,34935652,10.1097/RLI.0000000000000842
305,open_access/34957947,,34957947,10.3233/XST-211063
309,open_access/34924086,,34924086,10.1017/S1047951121004959
319,open_access/34923855,,34923855,10.1177/09544119211060989
327,open_access/34928786,,34928786,10.1109/TBME.2021.3136753
330,open_access/34927419,,34927419,10.1021/acs.analchem.1c04000
331,open_access/34927343,,34927343,10.1111/1747-0080.12718
362,open_access/34934034,,34934034,10.1097/IAE.0000000000003385
369,open_access/34918621,,34918621,10.1080/0284186X.2021.2013530
374,open_access/34918955,,34918955,10.1177/02841851211060437
375,open_access/34920680,,34920680,10.1177/00302228211060596
381,open_access/34913210,,34913210,10.1002/jmri.28033
382,open_access/34913723,,34913723,10.1161/CIRCULATIONAHA.121.054285
386,open_access/34916211,,34916211,10.1136/bjophthalmol-2021-319309
405,open_access/34911362,,34911362,10.1161/CIRCHEARTFAILURE.120.008176
413,open_access/34936544,,34936544,
418,open_access/34918174,,34918174,10.1007/s00261-021-03375-3
420,open_access/34860417,,34860417,10.1002/mp.15390
422,open_access/34919075,,34919075,10.1097/BRS.0000000000004307
423,open_access/34908146,,34908146,10.1093/pm/pnab342
424,open_access/34908478,,34908478,10.1259/bjr.20210915
426,open_access/34908213,,34908213,10.1002/jemt.24008
433,open_access/34913132,,34913132,10.1007/s10278-021-00519-1
441,open_access/34860574,,34860574,10.1259/bjr.20210438
458,open_access/34910643,,34910643,10.1109/JBHI.2021.3135534
485,open_access/34904872,,34904872,10.1148/radiol.211590
489,open_access/34904871,,34904871,10.1148/radiol.211528
491,open_access/34904882,,34904882,10.1177/15353702211065010
494,open_access/34894969,,34894969,10.1080/17434440.2022.2014319
497,open_access/34903032,,34903032,10.1161/CIRCINTERVENTIONS.121.010863
503,open_access/34753116,,34753116,10.1088/1741-2552/ac37cc
505,open_access/34859445,,34859445,10.1002/mp.15393
507,open_access/34903546,,34903546,10.1136/bmjopen-2021-053352
511,open_access/34903703,,34903703,10.1159/000520445
518,open_access/34812546,,34812546,10.1002/jbmr.4477
530,open_access/34904304,,34904304,10.1111/ipd.12946
533,open_access/34861045,,34861045,10.1002/mp.15392
540,open_access/34897594,,34897594,10.1007/s11548-021-02542-7
555,open_access/34894410,,34894410,10.1002/gps.5667
559,open_access/34894336,,34894336,10.1007/s11548-021-02515-w
