,pmid,doi,fulltextlink
0,35005197,10.1002/dad2.12264,https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/dad2.12264
1,34905733,10.1088/1361-6560/ac4316,https://iopscience.iop.org/article/10.1088/1361-6560/ac4316
2,35005207,10.1002/trc2.12229,https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/trc2.12229
3,34965805,10.1177/03009858211067478,https://journals.sagepub.com/doi/10.1177/03009858211067478
4,35005705,10.1002/emp2.12595,https://onlinelibrary.wiley.com/doi/10.1002/emp2.12595
5,34962866,10.1109/TMI.2021.3139023,https://ieeexplore.ieee.org/document/9663415
6,34797003,10.1111/ejn.15537,https://onlinelibrary.wiley.com/doi/10.1111/ejn.15537
7,34865317,10.1002/cnm.3559,https://onlinelibrary.wiley.com/doi/10.1002/cnm.3559
8,35069951,10.2478/joeb-2021-0018,https://www.sciendo.com/article/10.2478/joeb-2021-0018
9,35004766,10.3389/fmed.2021.793230,https://www.frontiersin.org/articles/10.3389/fmed.2021.793230/full
10,35135238,10.3934/mbe.2022093,http://www.aimspress.com/article/doi/10.3934/mbe.2022093
11,34951030,10.1002/clc.23762,https://onlinelibrary.wiley.com/doi/10.1002/clc.23762
12,34939745,10.1111/cns.13773,https://onlinelibrary.wiley.com/doi/10.1111/cns.13773
13,34936449,10.1126/sciadv.abh2724,https://www.science.org/doi/10.1126/sciadv.abh2724
14,34936195,10.1002/acm2.13506,https://aapm.onlinelibrary.wiley.com/doi/10.1002/acm2.13506
15,34936438,10.1126/sciadv.abl4146,https://www.science.org/doi/10.1126/sciadv.abl4146
16,34935742,10.1097/JCN.0000000000000871,https://journals.lww.com/jcnjournal/Abstract/9000/The_Utility_of_Nursing_Notes_Among_Medicare.99142.aspx
17,35154882,10.1364/BOE.446214,https://opg.optica.org/boe/fulltext.cfm?uri=boe-13-1-426&id=466261
18,34935230,10.1111/jocn.16182,https://onlinelibrary.wiley.com/doi/10.1111/jocn.16182
19,35135235,10.3934/mbe.2022090,http://www.aimspress.com/article/doi/10.3934/mbe.2022090
20,34928523,10.1002/path.5858,https://onlinelibrary.wiley.com/doi/10.1002/path.5858
21,34966518,10.1155/2021/1302989,https://www.hindawi.com/journals/jhe/2021/1302989/
22,35036125,10.7717/peerj.12572,https://peerj.com/articles/12572/
23,34950750,10.1117/1.JMI.8.6.067501,https://www.spiedigitallibrary.org/journals/journal-of-medical-imaging/volume-8/issue-06/067501/Deep-learning-segmentation-of-glomeruli-on-kidney-donor-frozen-sections/10.1117/1.JMI.8.6.067501.full?SSO=1
24,34937047,10.1097/APO.0000000000000466,https://journals.lww.com/apjoo/Abstract/9000/Validation_of_Soft_Labels_in_Developing_Deep.99655.aspx
25,34928445,10.1007/s11548-021-02539-2,https://link.springer.com/article/10.1007/s11548-021-02539-2
26,34926205,10.18240/ijo.2021.12.13,http://ies.ijo.cn/gjyken/ch/reader/view_abstract.aspx?file_no=20211213&flag=1
27,34961825,10.1155/2021/4272411,https://www.hindawi.com/journals/jhe/2021/4272411/
28,34926212,10.18240/ijo.2021.12.20,http://ies.ijo.cn/gjyken/ch/reader/view_abstract.aspx?file_no=20211220&flag=1
29,34918423,10.1002/jmri.27978,https://onlinelibrary.wiley.com/doi/10.1002/jmri.27978
30,34928886,10.5435/JAAOS-D-21-00241,https://journals.lww.com/jaaos/Fulltext/2022/02010/Supervised_Machine_Learning_for_Predicting_Length.6.aspx
31,34923098,10.1016/j.jvir.2021.12.017,https://www.sciencedirect.com/science/article/pii/S1051044321015839?via%3Dihub
32,34913545,10.1002/hbm.25748,https://onlinelibrary.wiley.com/doi/10.1002/hbm.25748
33,35036528,10.7717/peerj-cs.751,https://peerj.com/articles/cs-751/
34,35135226,10.3934/mbe.2022081,http://www.aimspress.com/article/doi/10.3934/mbe.2022081
35,35135225,10.3934/mbe.2022080,http://www.aimspress.com/article/doi/10.3934/mbe.2022080
36,34911402,10.1177/0272989X211064604,https://journals.sagepub.com/doi/10.1177/0272989X211064604
37,34850386,10.1111/acps.13388,https://onlinelibrary.wiley.com/doi/10.1111/acps.13388
38,34821436,10.1111/cas.15217,https://onlinelibrary.wiley.com/doi/10.1111/cas.15217
39,34902228,10.1002/acr.24834,https://onlinelibrary.wiley.com/doi/10.1002/acr.24834
40,34925951,10.1177/21514593211062277,https://journals.sagepub.com/doi/10.1177/21514593211062277
41,35018316,10.1089/heq.2021.0079,https://www.liebertpub.com/doi/10.1089/heq.2021.0079
42,34977354,10.7717/peerj-cs.806,https://peerj.com/articles/cs-806/
43,34886766,10.1080/17538157.2021.2007930,https://www.tandfonline.com/doi/full/10.1080/17538157.2021.2007930
44,34882518,10.1080/10543406.2021.2009500,https://www.tandfonline.com/doi/full/10.1080/10543406.2021.2009500
45,34888699,10.1093/mr/roab124,https://academic.oup.com/mr/advance-article-abstract/doi/10.1093/mr/roab124/6458437?redirectedFrom=fulltext
46,34889059,10.1111/1753-0407.13241,https://onlinelibrary.wiley.com/doi/10.1111/1753-0407.13241
47,34889080,10.1002/psp4.12740,https://ascpt.onlinelibrary.wiley.com/doi/10.1002/psp4.12740
48,34797766,10.1109/TNSRE.2021.3129467,https://ieeexplore.ieee.org/document/9622235
49,35243343,10.1093/braincomms/fcab284,https://academic.oup.com/braincomms/article/4/2/fcab284/6456301
50,34900003,10.1177/1759720X211059614,https://journals.sagepub.com/doi/10.1177/1759720X211059614
51,34806195,10.1002/mp.15361,https://aapm.onlinelibrary.wiley.com/doi/10.1002/mp.15361
52,34889756,10.2196/25022,https://medinform.jmir.org/2021/12/e25022
53,34960267,10.3390/s21248174,https://www.mdpi.com/1424-8220/21/24/8174
54,34559061,10.2196/29563,https://www.researchprotocols.org/2021/12/e29563
55,34946421,10.3390/healthcare9121695,https://www.mdpi.com/2227-9032/9/12/1695
56,34912531,10.1155/2021/1336762,https://www.hindawi.com/journals/jhe/2021/1336762/
57,34885246,10.3390/cancers13236138,https://www.mdpi.com/2072-6694/13/23/6138
